City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Rikitea,-23.1203,-134.9692,67.51,78,100,4.74,PF,moderate rain
1,Port Alfred,-33.5906,26.891,57.94,59,47,6.49,ZA,scattered clouds
2,Hermanus,-34.4187,19.2345,60.91,71,0,20.89,ZA,clear sky
3,Ukiah,39.1502,-123.2078,83.44,51,1,3.44,US,clear sky
4,Port Macquarie,-31.4333,152.9167,53.56,87,97,9.08,AU,overcast clouds
5,Port Elizabeth,-33.918,25.5701,54.1,72,24,5.21,ZA,few clouds
6,Atuona,-9.8,-139.0333,78.01,70,10,18.37,PF,clear sky
7,Shingu,33.7333,135.9833,77.92,96,100,16.11,JP,light rain
8,Antofagasta,-23.65,-70.4,60.08,66,46,8.66,CL,scattered clouds
9,Ribeira Grande,38.5167,-28.7,73.8,73,75,6.91,PT,broken clouds
10,Provideniya,64.3833,-173.3,38.32,79,98,7.56,RU,overcast clouds
11,Fukuma,33.7667,130.4667,75.2,92,100,17.94,JP,overcast clouds
12,Narsaq,60.9167,-46.05,46.62,74,31,3.4,GL,scattered clouds
13,Inhambane,-23.865,35.3833,69.82,70,100,19.69,MZ,light rain
14,Lavrentiya,65.5833,-171.0,35.47,81,98,5.7,RU,overcast clouds
15,Enshi,30.3,109.4833,69.84,95,100,0.72,CN,moderate rain
16,Bredasdorp,-34.5322,20.0403,55.27,74,6,14.97,ZA,clear sky
17,Yendi,9.4427,-0.0099,79.5,79,97,1.3,GH,overcast clouds
18,Saldanha,-33.0117,17.9442,59.58,69,0,12.71,ZA,clear sky
19,Souillac,-20.5167,57.5167,72.36,84,38,7.61,MU,scattered clouds
20,Cherskiy,68.75,161.3,39.09,84,100,2.77,RU,overcast clouds
21,Beringovskiy,63.05,179.3167,38.25,57,64,8.3,RU,broken clouds
22,Albany,42.6001,-73.9662,76.8,79,61,7.87,US,broken clouds
23,Ushuaia,-54.8,-68.3,40.66,70,40,0.0,AR,scattered clouds
24,Aloleng,16.1307,119.7824,80.62,81,50,6.6,PH,scattered clouds
25,Bluff,-46.6,168.3333,30.79,82,11,8.48,NZ,few clouds
26,Ambilobe,-13.2,49.05,72.34,78,90,5.28,MG,overcast clouds
27,Yellowknife,62.456,-114.3525,46.22,61,67,11.5,CA,broken clouds
28,San Quintin,30.4833,-115.95,72.72,63,20,11.74,MX,few clouds
29,Mataura,-46.1927,168.8643,30.47,98,13,3.11,NZ,few clouds
30,Srednekolymsk,67.45,153.6833,42.19,78,87,3.27,RU,overcast clouds
31,Jamestown,42.097,-79.2353,81.3,70,90,5.01,US,overcast clouds
32,Saint-Georges,12.0564,-61.7485,87.48,70,20,20.71,GD,few clouds
33,Port-Gentil,-0.7193,8.7815,78.03,84,98,13.35,GA,overcast clouds
34,Avarua,-21.2078,-159.775,73.45,73,20,12.66,CK,few clouds
35,Balabac,7.9868,117.0645,79.79,79,100,6.96,PH,overcast clouds
36,Xuanhua,40.6103,115.0447,62.01,78,77,2.98,CN,broken clouds
37,New Norfolk,-42.7826,147.0587,49.91,84,99,3.33,AU,overcast clouds
38,Saint-Francois,46.4154,3.9054,67.44,73,0,3.44,FR,clear sky
39,Arraial Do Cabo,-22.9661,-42.0278,73.26,73,75,12.66,BR,broken clouds
40,Matay,28.419,30.7792,85.78,33,0,19.62,EG,clear sky
41,Cape Town,-33.9258,18.4232,61.12,73,0,5.01,ZA,clear sky
42,Busselton,-33.65,115.3333,54.05,71,87,13.98,AU,overcast clouds
43,Tasiilaq,65.6145,-37.6368,35.06,65,99,2.35,GL,overcast clouds
44,Butaritari,3.0707,172.7902,81.57,72,61,10.27,KI,broken clouds
45,Emerald,-23.5333,148.1667,59.54,92,1,7.78,AU,clear sky
46,Dumai,1.6833,101.45,74.17,90,38,2.86,ID,scattered clouds
47,Kodiak,57.79,-152.4072,53.11,66,40,12.66,US,scattered clouds
48,Punta Arenas,-53.15,-70.9167,39.31,81,75,6.91,CL,broken clouds
49,Mar Del Plata,-38.0023,-57.5575,73.42,38,0,19.57,AR,clear sky
50,Mahebourg,-20.4081,57.7,72.25,84,11,8.99,MU,few clouds
51,Esperance,-33.8667,121.9,48.79,75,48,14.29,AU,scattered clouds
52,Masallatah,32.6167,14.0,83.28,42,0,12.01,LY,clear sky
53,Cabo San Lucas,22.8909,-109.9124,88.9,72,20,5.99,MX,few clouds
54,Polovinnoye,54.7914,65.9864,43.25,79,100,12.15,RU,overcast clouds
55,Kalawit,8.0667,122.5167,76.19,90,100,5.97,PH,overcast clouds
56,Namibe,-15.1961,12.1522,64.18,86,65,6.46,AO,broken clouds
57,Moussoro,13.6408,16.4901,96.53,23,61,6.58,TD,broken clouds
58,Hanzhong,33.0728,107.0303,64.38,98,100,1.32,CN,light rain
59,Bethel,41.3712,-73.414,74.84,85,90,8.05,US,overcast clouds
60,Ahipara,-35.1667,173.1667,50.76,79,16,9.4,NZ,few clouds
61,Kikwit,-5.041,18.8162,76.08,75,96,4.0,CD,light rain
62,Aklavik,68.2191,-135.0107,41.0,93,90,3.44,CA,mist
63,Airai,-8.9266,125.4092,56.16,68,43,3.13,TL,scattered clouds
64,Hobart,-42.8794,147.3294,50.25,92,40,1.99,AU,scattered clouds
65,Portland,45.5234,-122.6762,68.45,47,75,4.0,US,broken clouds
66,Preobrazheniye,42.9019,133.9064,58.59,84,11,5.53,RU,few clouds
67,Zelenoborskiy,66.845,32.3622,43.95,77,92,3.09,RU,overcast clouds
68,Dikson,73.5069,80.5464,35.47,66,100,16.44,RU,overcast clouds
69,Wanaka,-44.7,169.15,34.11,81,12,1.01,NZ,few clouds
70,Khatanga,71.9667,102.5,27.34,94,14,7.83,RU,few clouds
71,Tuktoyaktuk,69.4541,-133.0374,43.9,79,100,10.47,CA,overcast clouds
72,Iqaluit,63.7506,-68.5145,35.13,78,100,21.32,CA,overcast clouds
73,Kapaa,22.0752,-159.319,80.92,82,40,1.99,US,light rain
74,Kavieng,-2.5744,150.7967,82.08,77,58,16.44,PG,light rain
75,Floro,61.5996,5.0328,60.87,71,20,12.66,NO,few clouds
76,Saint-Philippe,-21.3585,55.7679,71.19,76,16,7.78,RE,few clouds
77,Vaini,-21.2,-175.2,71.76,94,40,3.44,TO,scattered clouds
78,Brae,60.3964,-1.353,57.11,91,100,27.07,GB,overcast clouds
79,Nanortalik,60.1432,-45.2371,39.88,78,33,20.67,GL,scattered clouds
80,Constitucion,-35.3333,-72.4167,59.9,65,95,14.56,CL,overcast clouds
81,Los Altos,37.3852,-122.1141,72.73,62,1,3.0,US,haze
82,Inuvik,68.3499,-133.7218,45.46,81,75,4.61,CA,broken clouds
83,Zheleznodorozhnyy,55.7503,38.0042,39.61,65,68,4.72,RU,broken clouds
84,Concarneau,47.875,-3.9225,63.39,95,98,1.07,FR,overcast clouds
85,Colesberg,-30.72,25.0972,47.75,41,1,19.19,ZA,clear sky
86,Chekhov,55.1431,37.4711,39.15,73,100,5.14,RU,overcast clouds
